Column ,No of missing rows,,,Person,Deadline,
Index,0,,< mandatory,-,,
Country Code,0,,,-,,
Year,0,,< it has to be there,-,,
Country Name,0,,< it has to be there,-,,
IncomeGroup,0,,When Imputing Using ML,-,,
region_USAID,0,,Correlation,-,,
region_WorldBank,0,,Non Null Columns,-,,
Population Growth (Annual %),0,,,-,,
Price Level Ratio Of Ppp Conversion Factor (Gdp) To Market Exchange Rate,0,,,Vibhu,,
"Inflation, Gdp Deflator: Linked Series (Annual %)",0,,,Vibhu,,
Gross Domestic Savings (% Of Gdp),0,,,Vibhu,,
General Government Final Consumption Expenditure (% Of Gdp),0,,,Vibhu,,
"Foreign Direct Investment, Net Inflows (% Of Gdp)",0,,,Vibhu,,
Rural Population,90,,,Vibhu,<< Make It percentage of total population,
Urban Population (% Of Total Population),0,,,Vibhu,8:00 pm Saturday,DONE
"Mortality Rate, Under-5 (Per 1,000 Live Births)",90,,,Lingxi,,
"Mortality Rate, Neonatal (Per 1,000 Live Births)",90,,,Lingxi,,
Population Ages 0-14 (% Of Total Population),90,,,Lingxi,,
"Labor Force Participation Rate, Total (% Of Total Population Ages 15-64) (Modeled Ilo Estimate)",90,,,Lingxi,,
"Unemployment, Total (% Of Total Labor Force) (Modeled Ilo Estimate)",90,,,Lingxi,,
"Wage And Salaried Workers, Total (% Of Total Employment) (Modeled Ilo Estimate)",90,,,Lingxi,,
Refugee Population By Country Or Territory Of Origin,93,,,Lingxi,,
"Inflation, Consumer Prices (Annual %)",100,,,Lingxi,,
Gdp Per Person Employed (Constant 2017 Ppp $),109,,,Lingxi,,
"Industry (Including Construction), Value Added (% Of Gdp)",115,,,Lingxi,,
Broad Money (% Of Gdp),138,,,Lingxi,,
Imports Of Goods And Services (% Of Gdp),145,,,Lingxi,,
Exports Of Goods And Services (% Of Gdp),145,,,Lingxi,,
Trade (% Of Gdp),145,,,Lingxi,Monday 12:00 pm ,
Claims On Central Government (Annual Growth As % Of Broad Money),158,,,Jennifer,done,
Claims On Private Sector (Annual Growth As % Of Broad Money),166,,,Jennifer,done,
Broad Money Growth (Annual %),167,,,Jennifer,done,
Trade In Services (% Of Gdp),190,,,Jennifer,done,
Net Primary Income (Net Income From Abroad) (Current Us$),229,,,Jennifer,done,
Merchandise Trade (% Of Gdp),249,,,Jennifer,done,
Gross Savings (% Of Gdp),259,,,Jennifer,done,
"Foreign Direct Investment, Net Outflows (% Of Gdp)",272,,,Jennifer,done,
Merchandise Exports To High-Income Economies (% Of Total Merchandise Exports),288,,,Jennifer,done,
Merchandise Exports To Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Exports),288,,,Jennifer,done,
Merchandise Imports From Low- And Middle-Income Economies Outside Region (% Of Total Merchandise Imports),288,,,Jennifer,done,
Merchandise Imports From High-Income Economies (% Of Total Merchandise Imports),288,,,Jennifer,,
Public Credit Registry Coverage (% Of Adults),300,,,Jennifer,,
Private Credit Bureau Coverage (% Of Adults),300,,,Jennifer,Monday 8:00 pm,
Total Tax And Contribution Rate (% Of Profit),300,,,Yue,,
Merchandise Exports To Low- And Middle-Income Economies Within Region (% Of Total Merchandise Exports),302,,,Yue,,
Merchandise Imports From Low- And Middle-Income Economies Within Region (% Of Total Merchandise Imports),302,,,Yue,,
"Adolescent Fertility Rate (Births Per 1,000 Women Ages 15-19)",352,,,Yue,,
Export Value Index (2000 = 100),394,,,Yue,,
Import Value Index (2000 = 100),394,,,Yue,,
Net Barter Terms Of Trade Index (2000 = 100),394,,,Yue,,
Import Volume Index (2000 = 100),394,,,Yue,,
Bank Liquid Reserves To Bank Assets Ratio (%),402,,,Yue,,
"Access To Electricity, Rural (% Of Rural Population)",429,,,Yue,,
Military Expenditure (% Of General Government Expenditure),470,,,Yue,,
Military Expenditure (% Of Gdp),478,,,Yue,,
Domestic Credit To Private Sector (% Of Gdp),502,,,Yue,,
Lifetime Risk Of Maternal Death (%),614,,,Yue,12:00 pm Tuesday,
Total Reserves (% Of Total External Debt),697,,,Xiang,,
Lending Interest Rate (%),700,,,Xiang,,
"People Using At Least Basic Drinking Water Services, Rural (% Of Rural Population)",721,,,Xiang,,
"People Using At Least Basic Sanitation Services, Rural (% Of Rural Population)",721,,,Xiang,,
Corruption Perception Index,776,,,Xiang,,
Domestic General Government Health Expenditure (% Of Gdp),789,,,Xiang,,
Deposit Interest Rate (%),821,,,Xiang,,
Agricultural Land (% Of Land Area),878,,,Xiang,,
Prevalence Of Undernourishment (% Of Population),882,,,Xiang,,
Food Production Index (2004-2006 = 100),884,,,Xiang,,
Domestic Private Health Expenditure (% Of Current Health Expenditure),893,,,Xiang,,
Gni Growth (Annual %),983,,,Xiang,,
Access To Clean Fuels And Technologies For Cooking (% Of Population),1092,,,Xiang,,
"Intentional Homicides (Per 100,000 People)",1096,,,Xiang,8:00 Tuesday,
