,Country Name,Result_Inv
0,Afghanistan,No Positive Change
1,Albania,Positive Change
2,Angola,No Positive Change
3,Armenia,Positive Change
4,Azerbaijan,No Positive Change
5,Bangladesh,Positive Change
6,Bolivia,No Positive Change
7,Bosnia and Herzegovina,Positive Change
8,Bulgaria,Positive Change
9,Burundi,No Positive Change
10,Cambodia,Positive Change
11,Colombia,Positive Change
12,Democratic Republic of Congo,Positive Change
13,Djibouti,No Positive Change
14,Dominican Republic,Positive Change
15,East Timor,No Positive Change
16,Ecuador,Positive Change
17,Egypt,No Positive Change
18,El Salvador,No Positive Change
19,Ethiopia,No Positive Change
20,Georgia,Positive Change
21,Ghana,Positive Change
22,Guatemala,Positive Change
23,Guinea,Positive Change
24,Guyana,No Positive Change
25,Haiti,No Positive Change
26,Honduras,Positive Change
27,Indonesia,Positive Change
28,Iraq,Positive Change
29,Jamaica,Positive Change
30,Jordan,Positive Change
31,Kazakhstan,No Positive Change
32,Kenya,No Positive Change
33,Kosovo,Positive Change
34,Kyrgyzstan,No Positive Change
35,Laos,No Positive Change
36,Lebanon,No Positive Change
37,Liberia,No Positive Change
38,Libya,No Positive Change
39,Macedonia,No Positive Change
40,Madagascar,Positive Change
41,Malawi,No Positive Change
42,Mali,No Positive Change
43,Mexico,Positive Change
44,Moldova,Positive Change
45,Mongolia,Positive Change
46,Montenegro,No Positive Change
47,Morocco,No Positive Change
48,Mozambique,No Positive Change
49,Nepal,Positive Change
50,Nicaragua,Positive Change
51,Nigeria,No Positive Change
52,Pakistan,No Positive Change
53,Panama,Positive Change
54,Paraguay,No Positive Change
55,Peru,No Positive Change
56,Philippines,Positive Change
57,Russian,No Positive Change
58,Rwanda,Positive Change
59,SENEGAL,Positive Change
60,Serbia,Positive Change
61,Sierra Leone,No Positive Change
62,Sri Lanka,Positive Change
63,Thailand,Positive Change
64,Turkmenistan,Positive Change
65,Uganda,No Positive Change
66,Ukraine,Positive Change
67,Vietnam,No Positive Change
68,West Bank and Gaza,Positive Change
69,Yemen,No Positive Change
70,Zambia,No Positive Change
