country,awd_value_min,awd_value_max,awd_value_mean,awd_value_median,awd_amount_very_low,awd_amount_low,awd_amount_median_low,awd_amount_median,awd_amount_median_high,awd_amount_high,awd_amount_very_high
Afghanistan,1635357,349078330,69509363.88,49100468,4,1,3,1,7,7,5
Albania,5100000,15731000,9396956.125,8809162.5,0,0,6,2,0,0,0
Angola,16900000,16900000,16900000,16900000,0,0,0,1,0,0,0
Armenia,548000,15500000,8619596.333,9810789,1,0,1,1,0,0,0
Azerbaijan,800000,12029205,5832565.25,5250528,1,1,1,1,0,0,0
Bangladesh,10176037,19248165,15870026,18185876,0,0,0,3,0,0,0
Bolivia,20000000,20000000,20000000,20000000,0,0,0,1,0,0,0
Bosnia and Herzegovina,148986,17798883,8670904.833,9345107,1,1,1,3,0,0,0
Bulgaria,11304177,11304177,11304177,11304177,0,0,0,1,0,0,0
Burundi,4406869.97,9271812,6839340.985,6839340.985,0,1,1,0,0,0,0
Cambodia,2185355,22650000,12562042.83,12734935,1,1,2,3,0,0,0
Colombia,4300000,23837559,14034389.75,14000000,0,1,0,3,0,0,0
Democratic Republic of Congo,5952904,20484410,13218657,13218657,0,0,1,1,0,0,0
Djibouti,343372,343372,343372,343372,1,0,0,0,0,0,0
Dominican Republic,2900000,9500000,5860000,5400000,0,2,3,0,0,0,0
East Timor,3000000,10496000,6798666.667,6900000,2,1,1,1,0,0,0
Ecuador,3600000,11359000,7479500,7479500,0,1,0,1,0,0,0
Egypt,1959935,138245857,31203754.67,19581027,0,2,0,4,2,0,1
El Salvador,5400000,8500000,7350000,7750000,0,0,4,0,0,0,0
Ethiopia,5000000,5000000,5000000,5000000,0,1,0,0,0,0,0
Georgia,3702997,19552000,13087001.25,14546504,0,1,0,3,0,0,0
Ghana,8997671,8997671,8997671,8997671,0,0,1,0,0,0,0
Guatemala,4800000,7100000,5850000,5750000,0,1,3,0,0,0,0
Guinea,950000,950000,950000,950000,1,0,0,0,0,0,0
Guyana,6600000,7700000,7150000,7150000,0,0,2,0,0,0,0
Haiti,14723832,14723832,14723832,14723832,0,0,0,1,0,0,0
Honduras,4200000,4616373,4408186.5,4408186.5,1,2,0,0,0,0,0
Indonesia,102600,61800000,18845242.79,17150601.5,3,0,2,8,1,1,0
Iraq,35600000,370000000,160962472.8,131188891,0,0,0,0,2,1,5
Jamaica,11400000,11400000,11400000,11400000,0,0,0,1,0,0,0
Jordan,8500000,43000000,18293644.86,16120892,0,0,2,4,1,0,0
Kazakhstan,1098997,2273665,1686331,1686331,0,2,0,0,0,0,0
Kenya,2912232,12000000,5970735.333,2999974,0,2,0,1,0,0,0
Kosovo,19500000,21132711,20177570.33,19900000,0,0,0,3,0,0,0
Kyrgyzstan,1090519,28000000,10173416.33,1429730,0,2,0,0,1,0,0
"Kyrgyzstan, Kazakhstan, Tajikistan",,,,,0,0,0,0,0,0,0
"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan, Turkmenistan",,,,,1,0,0,0,0,0,0
Laos,,,,,0,0,0,0,0,0,0
Lebanon,3132171,34000000,15598122.86,9350901,0,1,3,1,2,0,0
Liberia,5131000,10454136,7328965.667,6401761,0,0,2,1,0,0,0
Libya,,,,,0,0,0,0,0,0,0
Macedonia,350000,9478829,4878139,5236551.5,1,2,3,0,0,0,0
Madagascar,699423,699423,699423,699423,1,0,0,0,0,0,0
Malawi,8443060,8443060,8443060,8443060,0,0,1,0,0,0,0
Mali,8699776,8699776,8699776,8699776,0,0,1,0,0,0,0
Mexico,9000000,44100000,26550000,26550000,0,0,1,0,1,0,0
Moldova,2262001,14641172,7544654.657,8168542,0,2,4,1,0,0,0
Mongolia,269992,18163616,7347266,3499994,1,3,0,2,0,0,0
Montenegro,6699246,8625944,7662595,7662595,1,0,2,0,0,0,0
Morocco,6780000,27019737,14437434.25,11975000,1,0,2,1,1,0,0
Mozambique,5675520,5675520,5675520,5675520,0,0,1,0,0,0,0
Multiple,2998879,125000000,44666293,6000000,0,1,1,0,0,0,1
Nepal,4993872,20866000,10485225.67,5595805,0,1,1,1,0,0,0
Nicaragua,4100000,11805310,7776327.5,7600000,0,1,2,1,0,0,0
Nigeria,198050,39955377,13438868.75,6801024,1,1,1,0,1,0,0
Pakistan,135000000,135000000,135000000,135000000,0,0,0,0,0,0,1
Panama,4500000,4500000,4500000,4500000,0,1,0,0,0,0,0
Paraguay,3800000,34600000,19725000,20250000,0,1,0,1,2,0,0
Peru,4464906,20000000,13984963.6,14967126,0,1,0,4,0,0,0
Philippines,600000,23545630,8491690.5,4377075,2,4,1,3,0,0,0
Russia,3400000,4448847,3924423.5,3924423.5,0,2,0,0,0,0,0
Rwanda,118000,118000,118000,118000,1,0,0,0,0,0,0
SENEGAL,,,,,1,0,0,0,0,0,0
Serbia,600000,21885396,13667345,16091992,1,0,0,3,0,0,0
Sierra Leone,599167,15400000,7999583.5,7999583.5,1,0,0,1,0,0,0
Sri Lanka,2331279,42000669,19417570,13920762,0,1,0,1,1,0,0
Thailand,30376918,30376918,30376918,30376918,0,0,0,0,1,0,0
Turkmenistan,2442035,2442035,2442035,2442035,0,1,0,0,0,0,0
Uganda,6123806,7962336,7043071,7043071,0,0,2,0,0,0,0
Ukraine,3470000,16991610,9780468.547,9042756.14,0,1,3,2,0,0,0
Vietnam,11736866,13595736,12666301,12666301,0,0,0,2,0,0,0
West Bank and Gaza,3972168,100000000,33278936,21419916.5,0,1,1,4,2,2,0
Yemen,2939048,43000000,22516454.26,21610314.78,0,1,0,1,1,0,0
Zambia,4807018,22735000,13771009,13771009,0,1,0,1,0,0,0
